"Filename","BPM","Key","Happy","Sad","Relaxed","Aggressive","Danceability"
1993460922.mp3,124,C# minor,0.926,0.637,0.318,0.466,0.751
1993562497.mp3,74,D minor,0.491,0.702,0.418,0.440,0.827
1993687037.mp3,77,F# minor,0.487,0.957,0.625,0.039,0.154
1996988518.mp3,126,E minor,0.539,0.475,0.559,0.287,0.940
1996990617.mp3,114,G major,0.214,0.975,0.830,0.134,0.134
1998478782.mp3,122,F# major,0.606,0.934,0.617,0.070,0.159
1998754104.mp3,68,Eb minor,0.428,0.957,0.764,0.041,0.218
1998929044.mp3,136,D major,0.292,0.966,0.733,0.093,0.305
1998952015.mp3,85,Ab major,0.392,0.704,0.647,0.412,0.998
1999287977.mp3,119,G minor,0.421,0.688,0.734,0.198,0.993
1999596939.mp3,134,G minor,0.522,0.836,0.771,0.067,0.756
2001034434.mp3,76,A major,0.119,0.995,0.864,0.045,0.338
2001968059.mp3,103,G minor,0.624,0.375,0.508,0.792,0.542
2001968090.mp3,73,G major,0.312,0.965,0.670,0.050,0.181
2001968107.mp3,132,B minor,0.666,0.303,0.357,0.850,0.988
2002177393.mp3,122,Eb minor,0.533,0.869,0.783,0.254,0.356
2002277471.mp3,121,E major,0.587,0.960,0.720,0.050,0.774
2007003352.mp3,110,A minor,0.606,0.959,0.898,0.009,0.602
2009192460.mp3,129,Ab major,0.686,0.417,0.553,0.176,0.890
2011656186.mp3,70,A minor,0.395,0.965,0.941,0.043,0.074
2011670456.mp3,116,Bb major,0.501,0.442,0.543,0.176,0.945
2026592393.mp3,114,A minor,0.392,0.702,0.655,0.132,0.861
2045850851.mp3,125,D major,0.676,0.688,0.866,0.165,0.997
2046071635.mp3,128,E minor,0.679,0.357,0.518,0.284,1.000
2046626875.mp3,124,D minor,0.600,0.922,0.715,0.025,0.851
